Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
"03 Панели MDF ""Кроноспан"". 03 Уголки MDF ""Kronospan"" внутренние,  цены в $"						
						
16462	"Угол вн. ""Береза Даурская"""	2,40	2,10	1,80	1,60	шт
16478	"Угол вн. ""Бук поморский"""	2,40	2,10	1,80	1,60	шт
16401	"Угол вн. ""Бук"""	2,40	2,10	1,80	1,60	шт
16262	"Угол вн. ""Вишня"""	2,40	2,10	1,80	1,60	шт
16476	"Угол вн. ""Груша"""	2,40	2,10	1,80	1,60	шт
16453	"Угол вн. ""Дуб Seledin"""	2,40	2,10	1,80	1,60	шт
16459	"Угол вн. ""Дуб Вигры"""	2,40	2,10	1,80	1,60	шт
16402	"Угол вн. ""Дуб перламутр"""	2,40	2,10	1,80	1,60	шт
16477	"Угол вн. ""Дуб розовый"""	2,40	2,10	1,80	1,60	шт
16387	"Угол вн. ""Дуб Светлый"""	2,40	2,10	1,80	1,60	шт
16499	"Угол вн. ""Дуб Сучковатый светлый"""	2,40	2,10	1,80	1,60	шт
16436	"Угол вн. ""Дуб сучковатый"""	2,40	2,10	1,80	1,60	шт
16404	"Угол вн. ""Дуб"""	2,40	2,10	1,80	1,60	шт
16398	"Угол вн. ""Ель"""	2,40	2,10	1,80	1,60	шт
16405	"Угол вн. ""Классика белая"""	2,40	2,10	1,80	1,60	шт
16384	"Угол вн. ""Клен абрикосовый"""	2,40	2,10	1,80	1,60	шт
16481	"Угол вн. ""Клен голубой"""	2,40	2,10	1,80	1,60	шт
16480	"Угол вн. ""Клен зеленый"""	2,40	2,10	1,80	1,60	шт
16261	"Угол вн. ""Клен"""	2,40	2,10	1,80	1,60	шт
16406	"Угол вн. ""Махонь"""	2,40	2,10	1,80	1,60	шт
16494	"Угол вн. ""Мрамор Голубой"""	2,40	2,10	1,80	1,60	шт
16456	"Угол вн. ""Мрамор розовый"""	2,40	2,10	1,80	1,60	шт
16407	"Угол вн. ""Мрамор"""	2,40	2,10	1,80	1,60	шт
16470	"Угол вн. ""Ольха Таурская"""	2,40	2,10	1,80	1,60	шт
16864	"Угол вн. ""Рубин"""	2,40	2,10	1,80	1,60	шт
16497	"Угол вн. ""Сосна Голубая"" (2,75м / 2,6м)"	2,40	2,10	1,80	1,60	шт
16498	"Угол вн. ""Сосна Сучковатая"""	2,40	2,10	1,80	1,60	шт
16479	"Угол вн. ""Сосна"""	2,40	2,10	1,80	1,60	шт
16465	"Угол вн. ""Чечет Перламутр"""	2,40	2,10	1,80	1,60	шт
16865	"Угол вн. ""Янтарь"""	2,40	2,10	1,80	1,60	шт
16438	"Угол вн. ""Ясень Белый"""	2,40	2,10	1,80	1,60	шт
16700	"Угол вн. ""Ясень белый"" 16 мм"	2,40	2,10	1,80	1,60	шт
16399	"Угол вн. ""Ясень Лосось"""	2,40	2,10	1,80	1,60	шт
16409	"Угол вн. ""Ясень серый"""	2,40	2,10	1,80	1,60	шт
16411	"Угол вн. ""Ясень"""	2,40	2,10	1,80	1,60	шт
						
"03 Панели MDF ""Кроноспан"". 03 Уголки MDF ""Kronospan"" гибкие,  цены в $"						
						
16463	"Угол гиб. ""Береза Даурская"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16490	"Угол гиб. ""Бук поморский"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16412	"Угол гиб. ""Бук"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16443	"Угол гиб. ""Бук"" 35 мм"	2,50	2,20	1,90	1,70	шт
16264	"Угол гиб. ""Вишня"""	2,50	2,20	1,90	1,70	шт
16488	"Угол гиб. ""Груша"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16454	"Угол гиб. ""Дуб Seledin"""	2,50	2,20	1,90	1,70	шт
16460	"Угол гиб. ""Дуб Вигры"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16413	"Угол гиб. ""Дуб перламутр"""	2,50	2,20	1,90	1,70	шт
16468	"Угол гиб. ""Дуб перламутр"" 35 мм"	2,50	2,20	1,90	1,70	шт
16489	"Угол гиб. ""Дуб розовый"""	2,50	2,20	1,90	1,70	шт
16386	"Угол гиб. ""Дуб Светлый"""	2,50	2,20	1,90	1,70	шт
16395	"Угол гиб. ""Дуб Сучковатый светлый"""	2,50	2,20	1,90	1,70	шт
16434	"Угол гиб. ""Дуб сучковатый"""	2,50	2,20	1,90	1,70	шт
16415	"Угол гиб. ""Дуб"""	2,50	2,20	1,90	1,70	шт
16469	"Угол гиб. ""Дуб"" 35 мм"	2,50	2,20	1,90	1,70	шт
16393	"Угол гиб. ""Ель"""	2,50	2,20	1,90	1,70	шт
16416	"Угол гиб. ""Классика белая"""	2,50	2,20	1,90	1,70	шт
16383	"Угол гиб. ""Клен абрикосовый"""	2,50	2,20	1,90	1,70	шт
16493	"Угол гиб. ""Клен голубой"""	2,50	2,20	1,90	1,70	шт
16492	"Угол гиб. ""Клен зеленый"""	2,50	2,20	1,90	1,70	шт
16263	"Угол гиб. ""Клен"""	2,50	2,20	1,90	1,70	шт
16417	"Угол гиб. ""Махонь"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16495	"Угол гиб. ""Мрамор Голубой"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16457	"Угол гиб. ""Мрамор розовый"""	2,50	2,20	1,90	1,70	шт
16418	"Угол гиб. ""Мрамор"""	2,50	2,20	1,90	1,70	шт
16471	"Угол гиб. ""Ольха Таурская"""	2,50	2,20	1,90	1,70	шт
16866	"Угол гиб. ""Рубин"""	2,50	2,20	1,90	1,70	шт
16397	"Угол гиб. ""Сосна Голубая"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16396	"Угол гиб. ""Сосна Сучковатая"""	2,50	2,20	1,90	1,70	шт
16491	"Угол гиб. ""Сосна"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
16466	"Угол гиб. ""Чечет Перламутр"""	2,50	2,20	1,90	1,70	шт
16867	"Угол гиб. ""Янтарь"""	2,50	2,20	1,90	1,70	шт
16439	"Угол гиб. ""Ясень Белый"""	2,50	2,20	1,90	1,70	шт
16394	"Угол гиб. ""Ясень Лосось"""	2,50	2,20	1,90	1,70	шт
16420	"Угол гиб. ""Ясень серый"""	2,50	2,20	1,90	1,70	шт
16422	"Угол гиб. ""Ясень"" (2,75м / 2,6м)"	2,50	2,20	1,90	1,70	шт
						
"03 Панели MDF ""Кроноспан"". 03 Уголки MDF ""Kronospan"" наружные,  цены в $"						
						
16464	"Угол нар. ""Береза Даурская"""	2,45	2,15	1,85	1,66	шт
16484	"Угол нар. ""Бук поморский"""	2,45	2,15	1,85	1,66	шт
16423	"Угол нар. ""Бук"""	2,45	2,15	1,85	1,66	шт
16266	"Угол нар. ""Вишня"""	2,45	2,15	1,85	1,66	шт
16482	"Угол нар. ""Груша"""	2,45	2,15	1,85	1,66	шт
16455	"Угол нар. ""Дуб Seledin"""	2,45	2,15	1,85	1,66	шт
16461	"Угол нар. ""Дуб Вигры"" (2,75м / 2,6м)"	2,45	2,15	1,85	1,66	шт
16424	"Угол нар. ""Дуб перламутр"""	2,45	2,15	1,85	1,66	шт
